Category,Winner,Film
Best Picture,Everything Everywhere All at Once,Everything Everywhere All at Once
Best Director,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once
Best Actor,Brendan Fraser,The Whale
Best Actress,Michelle Yeoh,Everything Everywhere All at Once
Best Supporting Actor,Ke Huy Quan,Everything Everywhere All at Once
Best Supporting Actress,Jamie Lee Curtis,Everything Everywhere All at Once
Best Original Screenplay,Daniel Kwan and Daniel Scheinert,Everything Everywhere All at Once
Best Adapted Screenplay,Tony Kushner and Dan Katz,Women Talking
Best Animated Feature,Guillermo del Toro's Pinocchio,Guillermo del Toro's Pinocchio
Best International Feature Film,All Quiet on the Western Front,Germany
